ID,Score,Phase,Timepoint
1,0.818181818,Phase 1,pretraining
1,0.818181818,Phase 1,posttraining
1,0.909090909,Phase 1,followup
2,0.727272727,Phase 1,pretraining
2,0.818181818,Phase 1,posttraining
2,0.681818182,Phase 1,followup
3,0.590909091,Phase 1,pretraining
3,0.909090909,Phase 1,posttraining
3,0.727272727,Phase 1,followup
4,0.545454546,Phase 1,pretraining
4,0.818181818,Phase 1,posttraining
4,1,Phase 1,followup
5,0.772727273,Phase 1,pretraining
5,0.863636364,Phase 1,posttraining
5,0.909090909,Phase 1,followup
6,0.681818182,Phase 1,pretraining
6,0.772727273,Phase 1,posttraining
6,1,Phase 1,followup
7,0.909090909,Phase 1,pretraining
7,0.909090909,Phase 1,posttraining
7,0.863636364,Phase 1,followup
8,0.590909091,Phase 1,pretraining
8,0.909090909,Phase 1,posttraining
8,0.909090909,Phase 1,followup
9,0.772727273,Phase 1,pretraining
9,0.681818182,Phase 1,posttraining
9,0.954545455,Phase 1,followup
10,0.318181818,Phase 1,pretraining
10,0.681818182,Phase 1,posttraining
10,1,Phase 1,followup
12,0.545454546,Phase 1,pretraining
12,0.545454546,Phase 1,posttraining
12,0.772727273,Phase 1,followup
13,0.409090909,Phase 1,pretraining
13,0.818181818,Phase 1,posttraining
13,0.909090909,Phase 1,followup
19,0.863636364,Phase 1,pretraining
19,0.772727273,Phase 1,posttraining
19,0.863636364,Phase 1,followup
20,0.772727273,Phase 1,pretraining
20,0.863636364,Phase 1,posttraining
20,0.681818182,Phase 1,followup
21,0.863636364,Phase 1,pretraining
21,0.818181818,Phase 1,posttraining
21,0.727272727,Phase 1,followup
25,0.863636364,Phase 1,pretraining
25,0.681818182,Phase 1,posttraining
25,0.909090909,Phase 1,followup
26,0.681818182,Phase 1,pretraining
26,0.681818182,Phase 1,posttraining
26,0.818181818,Phase 1,followup
31,0.5,Phase 1,pretraining
31,0.681818182,Phase 1,posttraining
32,0.545454546,Phase 1,pretraining
32,0.636363636,Phase 1,posttraining
33,0.545454546,Phase 1,pretraining
33,0.590909091,Phase 1,posttraining
33,0.818181818,Phase 1,followup
34,0.636363636,Phase 1,pretraining
34,0.5,Phase 1,posttraining
37,0.909090909,Phase 1,pretraining
37,0.863636364,Phase 1,posttraining
37,1,Phase 1,followup
38,0.954545455,Phase 1,pretraining
38,0.772727273,Phase 1,posttraining
39,0.590909091,Phase 1,pretraining
39,0.545454546,Phase 1,posttraining
39,0.818181818,Phase 1,followup
40,0.045454545,Phase 1,pretraining
40,0.5,Phase 1,posttraining
40,0.909090909,Phase 1,followup
43,0.272727273,Phase 2,pretraining
43,0.727272727,Phase 2,posttraining
43,0.636363636,Phase 2,followup
44,0.409090909,Phase 2,pretraining
44,0.727272727,Phase 2,posttraining
44,0.681818182,Phase 2,followup
45,0.590909091,Phase 2,pretraining
45,0.818181818,Phase 2,posttraining
45,0.772727273,Phase 2,followup
46,0.5,Phase 2,pretraining
46,0.863636364,Phase 2,posttraining
46,0.772727273,Phase 2,followup
50,0.727272727,Phase 2,pretraining
50,0.863636364,Phase 2,posttraining
54,0.636363636,Phase 2,pretraining
54,0.863636364,Phase 2,posttraining
54,1,Phase 2,followup
55,0.818181818,Phase 2,pretraining
55,0.954545455,Phase 2,posttraining
55,0.954545455,Phase 2,followup
56,0.863636364,Phase 2,pretraining
56,0.954545455,Phase 2,posttraining
56,0.863636364,Phase 2,followup
57,0.272727273,Phase 2,pretraining
57,0.863636364,Phase 2,posttraining
57,0.909090909,Phase 2,followup
58,0.454545455,Phase 2,pretraining
58,0.681818182,Phase 2,posttraining
58,0.909090909,Phase 2,followup
61,0.772727273,Phase 2,pretraining
61,0.772727273,Phase 2,posttraining
61,0.818181818,Phase 2,followup
62,0.954545455,Phase 2,pretraining
62,0.954545455,Phase 2,posttraining
62,0.818181818,Phase 2,followup
63,0.454545455,Phase 2,pretraining
63,0.727272727,Phase 2,posttraining
63,0.727272727,Phase 2,followup
65,0.454545455,Phase 2,pretraining
65,0.727272727,Phase 2,posttraining
65,0.681818182,Phase 2,followup
66,0.5,Phase 2,pretraining
66,0.772727273,Phase 2,posttraining
66,0.681818182,Phase 2,followup
67,0.545454546,Phase 2,pretraining
67,0.818181818,Phase 2,posttraining
67,0.772727273,Phase 2,followup
68,0.954545455,Phase 2,pretraining
68,0.818181818,Phase 2,posttraining
68,0.863636364,Phase 2,followup
71,0.227272727,Phase 2,pretraining
71,0.954545455,Phase 2,posttraining
71,0.818181818,Phase 2,followup
72,0.409090909,Phase 2,pretraining
72,0.681818182,Phase 2,posttraining
73,0.545454546,Phase 2,pretraining
73,0.954545455,Phase 2,posttraining
76,0.454545455,Phase 2,pretraining
76,0.636363636,Phase 2,posttraining
76,0.772727273,Phase 2,followup
77,0.454545455,Phase 2,pretraining
77,0.772727273,Phase 2,posttraining
77,0.636363636,Phase 2,followup
78,0.590909091,Phase 2,pretraining
78,0.636363636,Phase 2,posttraining
78,0.909090909,Phase 2,followup
79,0.772727273,Phase 2,pretraining
79,0.909090909,Phase 2,posttraining
79,0.954545455,Phase 2,followup
80,0.454545455,Phase 2,pretraining
80,0.772727273,Phase 2,posttraining
80,0.954545455,Phase 2,followup
81,0.5,Phase 2,pretraining
81,1,Phase 2,posttraining
81,0.590909091,Phase 2,followup
82,0.727272727,Phase 2,pretraining
82,0.909090909,Phase 2,posttraining
82,0.863636364,Phase 2,followup
84,0.454545455,Phase 2,pretraining
84,0.681818182,Phase 2,posttraining
84,0.681818182,Phase 2,followup
85,0.545454546,Phase 2,pretraining
85,0.772727273,Phase 2,posttraining
85,0.909090909,Phase 2,followup
86,0.772727273,Phase 2,pretraining
86,0.909090909,Phase 2,posttraining
86,0.954545455,Phase 2,followup
87,0.545454546,Phase 2,pretraining
87,0.772727273,Phase 2,posttraining
87,0.818181818,Phase 2,followup
88,0.5,Phase 2,pretraining
88,0.545454546,Phase 2,posttraining
88,0.636363636,Phase 2,followup
89,0.545454546,Phase 2,pretraining
89,0.590909091,Phase 2,posttraining
89,0.681818182,Phase 2,followup
90,0.545454546,Phase 2,pretraining
90,0.636363636,Phase 2,posttraining
90,0.727272727,Phase 2,followup
91,0.454545455,Phase 2,pretraining
91,0.818181818,Phase 2,posttraining
91,0.727272727,Phase 2,followup
92,0.363636364,Phase 2,pretraining
92,0.681818182,Phase 2,posttraining
92,0.772727273,Phase 2,followup
93,0.727272727,Phase 2,pretraining
93,0.818181818,Phase 2,posttraining
93,0.727272727,Phase 2,followup
94,0.636363636,Phase 2,pretraining
94,0.818181818,Phase 2,posttraining
94,0.681818182,Phase 2,followup
95,0.727272727,Phase 2,pretraining
95,0.954545455,Phase 2,posttraining
95,0.590909091,Phase 2,followup
96,0.318181818,Phase 2,pretraining
96,0.681818182,Phase 2,posttraining
96,0.590909091,Phase 2,followup
97,0.681818182,Phase 2,pretraining
97,0.909090909,Phase 2,posttraining
97,0.818181818,Phase 2,followup
98,0.727272727,Phase 2,pretraining
98,0.909090909,Phase 2,posttraining
98,0.681818182,Phase 2,followup
99,0.590909091,Phase 2,pretraining
99,0.818181818,Phase 2,posttraining
99,0.863636364,Phase 2,followup
100,0.727272727,Phase 2,pretraining
100,0.863636364,Phase 2,posttraining
100,0.772727273,Phase 2,followup
102,0.636363636,Phase 2,pretraining
102,0.772727273,Phase 2,posttraining
102,0.863636364,Phase 2,followup
103,0.681818182,Phase 2,pretraining
103,0.954545455,Phase 2,posttraining
103,0.954545455,Phase 2,followup
104,0.318181818,Phase 2,pretraining
104,1,Phase 2,posttraining
104,0.727272727,Phase 2,followup
105,0.545454546,Phase 2,pretraining
105,0.863636364,Phase 2,posttraining
105,0.590909091,Phase 2,followup
106,0.090909091,Phase 2,pretraining
106,0.818181818,Phase 2,posttraining
106,0.681818182,Phase 2,followup
108,0.272727273,Phase 2,pretraining
108,0.681818182,Phase 2,posttraining
108,0.772727273,Phase 2,followup
109,0.636363636,Phase 2,pretraining
109,0.863636364,Phase 2,posttraining
109,0.454545455,Phase 2,followup
110,0.681818182,Phase 2,pretraining
110,0.863636364,Phase 2,posttraining
110,0.818181818,Phase 2,followup
111,0.545454546,Phase 2,pretraining
111,0.727272727,Phase 2,posttraining
111,0.636363636,Phase 2,followup
112,0.818181818,Phase 2,pretraining
112,0.772727273,Phase 2,posttraining
112,0.909090909,Phase 2,followup
113,0.818181818,Phase 2,pretraining
113,0.772727273,Phase 2,posttraining
113,0.818181818,Phase 2,followup
114,0.772727273,Phase 2,pretraining
114,0.863636364,Phase 2,posttraining
114,0.863636364,Phase 2,followup
116,0.590909091,Phase 2,pretraining
116,0.863636364,Phase 2,posttraining
116,0.818181818,Phase 2,followup
117,0.772727273,Phase 2,pretraining
117,0.772727273,Phase 2,posttraining
117,0.681818182,Phase 2,followup
118,0.636363636,Phase 2,pretraining
118,0.727272727,Phase 2,posttraining
118,0.772727273,Phase 2,followup
119,0.636363636,Phase 2,pretraining
119,0.818181818,Phase 2,posttraining
119,0.954545455,Phase 2,followup
120,0.363636364,Phase 2,pretraining
120,0.954545455,Phase 2,posttraining
120,0.545454546,Phase 2,followup
121,0.727272727,Phase 2,pretraining
121,0.772727273,Phase 2,posttraining
121,0.772727273,Phase 2,followup
122,0.954545455,Phase 2,pretraining
122,0.954545455,Phase 2,posttraining
122,0.954545455,Phase 2,followup
123,0.727272727,Phase 2,pretraining
123,0.818181818,Phase 2,posttraining
123,0.863636364,Phase 2,followup
124,0.454545455,Phase 2,pretraining
124,0.727272727,Phase 2,posttraining
124,0.681818182,Phase 2,followup
126,0.681818182,Phase 2,pretraining
126,0.909090909,Phase 2,posttraining
126,0.818181818,Phase 2,followup
127,0.681818182,Phase 2,pretraining
